TPR,FPR,Threshold
1.0,1.0,0.0
1.0,0.17958412098298676,0.01
1.0,0.14697542533081284,0.02
1.0,0.12570888468809074,0.03
1.0,0.11200378071833648,0.04
1.0,0.10160680529300567,0.05
1.0,0.09262759924385633,0.06
1.0,0.08223062381852551,0.07
1.0,0.07655954631379962,0.08
1.0,0.06947069943289225,0.09
1.0,0.06427221172022685,0.1
0.9986357435197817,0.05718336483931947,0.11
0.9986357435197817,0.05198487712665406,0.12
0.9972714870395635,0.048204158790170135,0.13
0.9972714870395635,0.04725897920604915,0.14
0.9972714870395635,0.04395085066162571,0.15
0.9972714870395635,0.04300567107750473,0.16
0.9972714870395635,0.04158790170132325,0.17
0.9972714870395635,0.04064272211720227,0.18
0.9972714870395635,0.03969754253308128,0.19
0.9972714870395635,0.038752362948960305,0.2
0.9972714870395635,0.03827977315689981,0.21
0.9972714870395635,0.03780718336483932,0.22
0.9972714870395635,0.03733459357277883,0.23
0.9972714870395635,0.036389413988657845,0.24
0.9972714870395635,0.036389413988657845,0.25
0.9972714870395635,0.035916824196597356,0.26
0.9972714870395635,0.03544423440453686,0.27
0.9959072305593452,0.03544423440453686,0.28
0.9959072305593452,0.03449905482041588,0.29
0.9959072305593452,0.034026465028355386,0.3
0.9959072305593452,0.034026465028355386,0.31
0.9959072305593452,0.034026465028355386,0.32
0.9959072305593452,0.0335538752362949,0.33
0.9959072305593452,0.0330812854442344,0.34
0.9959072305593452,0.0330812854442344,0.35000000000000003
0.9959072305593452,0.0330812854442344,0.36
0.9959072305593452,0.0330812854442344,0.37
0.9959072305593452,0.03213610586011342,0.38
0.9945429740791268,0.03213610586011342,0.39
0.9945429740791268,0.03213610586011342,0.4
0.9945429740791268,0.03213610586011342,0.41000000000000003
0.9945429740791268,0.03213610586011342,0.42
0.9945429740791268,0.03213610586011342,0.43
0.9945429740791268,0.030718336483931945,0.44
0.9945429740791268,0.030718336483931945,0.45
0.9945429740791268,0.030718336483931945,0.46
0.9945429740791268,0.029773156899810964,0.47000000000000003
0.9945429740791268,0.029773156899810964,0.48
0.9945429740791268,0.029773156899810964,0.49
0.9945429740791268,0.029773156899810964,0.5
0.9945429740791268,0.029773156899810964,0.51
0.9945429740791268,0.029773156899810964,0.52
0.9945429740791268,0.029773156899810964,0.53
0.9945429740791268,0.029773156899810964,0.54
0.9945429740791268,0.029773156899810964,0.55
0.9931787175989086,0.02930056710775047,0.56
0.9931787175989086,0.02930056710775047,0.5700000000000001
0.9931787175989086,0.02930056710775047,0.58
0.9931787175989086,0.028827977315689982,0.59
0.9931787175989086,0.028827977315689982,0.6
0.9918144611186903,0.028827977315689982,0.61
0.990450204638472,0.028827977315689982,0.62
0.990450204638472,0.028827977315689982,0.63
0.990450204638472,0.028827977315689982,0.64
0.990450204638472,0.028827977315689982,0.65
0.990450204638472,0.028827977315689982,0.66
0.990450204638472,0.028827977315689982,0.67
0.990450204638472,0.02835538752362949,0.68
0.9890859481582538,0.02835538752362949,0.6900000000000001
0.9877216916780355,0.02835538752362949,0.7000000000000001
0.9877216916780355,0.02835538752362949,0.71
0.9877216916780355,0.02835538752362949,0.72
0.9877216916780355,0.02835538752362949,0.73
0.9863574351978172,0.02835538752362949,0.74
0.984993178717599,0.02835538752362949,0.75
0.984993178717599,0.02835538752362949,0.76
0.9836289222373806,0.027882797731568997,0.77
0.9822646657571623,0.027882797731568997,0.78
0.9795361527967258,0.027410207939508508,0.79
0.9781718963165075,0.027410207939508508,0.8
0.9768076398362893,0.02599243856332703,0.81
0.975443383356071,0.02551984877126654,0.8200000000000001
0.9740791268758526,0.02504725897920605,0.8300000000000001
0.9740791268758526,0.02504725897920605,0.84
0.9672578444747613,0.023629489603024575,0.85
0.965893587994543,0.023156899810964082,0.86
0.9645293315143247,0.0222117202268431,0.87
0.9604365620736699,0.020793950850661626,0.88
0.9522510231923602,0.01890359168241966,0.89
0.9290586630286494,0.017485822306238186,0.9
0.8867667121418826,0.015122873345935728,0.91
0.8512960436562074,0.014650283553875236,0.92
0.810368349249659,0.013232514177693762,0.93
0.7803547066848567,0.011342155009451797,0.9400000000000001
0.747612551159618,0.008506616257088847,0.9500000000000001
0.703956343792633,0.006616257088846881,0.96
0.6248294679399727,0.004725897920604915,0.97
0.5648021828103683,0.004253308128544423,0.98
0.4979536152796726,0.002835538752362949,0.99
0.0,0.0,1.0
